year,AS,AU,CK,FJ,HS,KI,NC,NU,NZ,PF,PG,SB,TK,TO,TV,VU,WS
2000,626,359,0,4503,12828,269,885,0,4670,3463,105,404,0,858,240,2901,4067
2001,3217,554,9,7294,22174,726,1015,0,5329,4261,72,189,0,1074,103,2875,4820
2002,5334,505,1136,6284,28042,758,1160,34,5534,4555,82,1084,0,845,186,2680,4205
2003,3204,391,1874,4053,25659,673,1087,0,6657,3813,645,980,0,318,52,2946,2253
2004,2019,587,2172,6066,23827,832,1367,0,4458,2211,1529,2450,0,206,224,4100,1233
2005,2880,619,2292,5598,23315,239,1579,55,3457,2259,2181,2742,0,256,296,6674,1263
2006,4078,2526,1993,5473,19167,299,1348,258,2539,2846,1790,6476,0,405,8,8335,2113
2007,4667,1867,2999,3998,16276,675,1312,216,2013,3924,1919,5035,0,354,459,5065,3113
2008,2803,1256,2467,4520,23030,360,1484,337,3734,3060,507,6637,144,220,159,5474,2342
2009,3188,1471,4643,5609,30260,1125,1611,241,2216,3560,864,10112,0,124,351,5493,2816
2010,2838,745,4911,5771,40349,1290,1932,196,2292,3482,795,6021,0,57,675,4790,2529
2011,1784,652,5559,4165,22910,550,1734,0,3205,3224,294,6424,108,36,467,6077,1415
2012,2416,702,10627,4165,29764,1218,1711,0,2993,3591,801,8172,250,760,930,4281,2038
2013,1769,757,5985,3642,29698,828,1713,362,3138,3495,237,9074,0,1471,1491,6819,1642
2014,1377,728,4483,3916,19984,1258,1628,208,2248,3744,310,13111,7,264,475,6604,800
2015,1760,945,4556,5643,23045,2578,1578,196,2648,3418,459,6887,1867,710,406,5419,840
2016,1511,910,4757,4783,16818,4752,1745,88,2368,3276,1185,3748,2447,1105,1501,7513,823
2017,1511,830,3310,5871,35799,426,1719,14,2140,2148,1613,5548,1662,611,1426,7972,1638
2018,1552,751,4715,5466,27400,72,1742,364,2511,3058,1451,7022,632,655,944,5602,1364
2019,1062,796,5302,5140,31355,1127,2009,386,2752,3439,756,4498,1970,1213,1448,3195,1442
2020,513,1158,2441,3826,28199,2837,1896,165,3030,2812,753,3793,1066,829,665,5180,700
