"EEZ","Catch.3.10.19","Per.3.10.19","Catch.5.05.19","Per.5.05.19","Catch.5.00.19","Per.5.00.19"
"AU",895,2.04605724388088,1613,3.80627409893009,1613,3.5197590939839
"CK",7390.33333333333,16.8950224037553,6476.8,15.28361815496,6476.8,14.1331529447705
"FJ",5761.66666666667,13.1717316426372,5698.4,13.4467900343107,6257.2,13.6539594562158
"KI",2873.33333333333,6.56872009022465,2219.2,5.23675355260115,2219.2,4.84256006284505
"NU",370.666666666667,0.847380132288841,341.4,0.805618088887001,341.4,0.744975669365221
"NZ",574.333333333333,1.31298198555186,565,1.33325782138593,2126.2,4.63962292971392
"PG",1416.33333333333,3.23787606303533,1790.8,4.22583735670428,1806.4,3.94178104610819
"SB",10119,23.1330203919895,9498.2,22.4133618390935,9498.2,20.7262094398499
"TK",2094.66666666667,4.78861218642363,1715.6,4.04838428030035,1715.6,3.74364457634146
"TO",1263,2.8873411162252,1051.8,2.48198332129862,1144.2,2.49678137342615
"TV",1480,3.38342426921084,1362,3.21397726146484,1362,2.97204704650097
"VU",7434.66666666667,16.996372725333,7462.6,17.6098580847338,7462.6,16.2842865559605
"WS",2069.66666666667,4.73145974944372,2582.6,6.09428610532973,3804.2,8.3012198049185
