"EEZ","Catch.3.10.19","Per.3.10.19","Catch.5.05.19","Per.5.05.19","Catch.5.00.19","Per.5.00.19"
"AU",907,1.91761513795412,1625.4,3.55353254453393,1625.4,3.27442827442827
"CK",7349.33333333333,15.5382501145213,6442.2,14.0842668625548,6442.2,12.9780496059566
"FJ",5818.33333333333,12.3013495894852,5739.4,12.5477695866236,6271,12.6331608889748
"KI",2873.33333333333,6.07491454949082,2222.6,4.85916170387666,2222.6,4.47750971006785
"NU",387.333333333333,0.818915395186582,351.4,0.768248637965562,351.4,0.707908266047801
"NZ",3112,6.57951302019099,3305.4,7.22643439934937,5329.6,10.7366758529549
"PG",1241,2.62377109834737,1743.8,3.81238467525426,1819.8,3.6660542474496
"SB",11342.6666666667,23.9811127946721,10453.2,22.8533200409266,10453.2,21.0583571048687
"TK",1792.66666666667,3.79012650199091,1356.2,2.96499374732184,1356.2,2.73211494141727
"TO",1280.33333333333,2.70693118150745,1064,2.32617117471644,1154.6,2.32598430272849
"TV",1490.33333333333,3.1509214560062,1365.8,2.98598175792079,1365.8,2.75145449564054
"VU",7402.33333333333,15.6503048028472,7443.2,16.2727042177156,7443.2,14.9946010411127
"WS",2301.66666666667,4.86627435779978,2627.8,5.74503065124048,3804.2,7.66370126835243
