Cnt,Cntnm,Av3,Av5,TKAlm,Bio,Fshdep
AU,Australia,895.0000,1613.0000,2526.0000,14362.2191,0.0010
CK,Cooks,7390.3333,6476.8000,9698.0000,8070.9478,0.0200
FJ,Fiji,5761.6667,5698.4000,7294.0000,6252.8125,0.0170
KI,Kiribati,2873.3333,2219.2000,2500.0000,1949.3134,0.1780
NU,Niue,370.6667,341.4000,2500.0000,1552.9168,0.0460
NZ,New Zealand,574.3333,565.0000,6700.0000,12101.0055,0.0012
PG,PNG,1416.3333,1790.8000,2500.0000,4947.2551,0.0200
SB,Solomon Is.,10119.0000,9498.2000,14500.0000,5068.4504,0.0800
TK,Tokelau,2094.6667,1715.6000,2500.0000,589.5813,0.1124
TO,Tonga,1263.0000,1051.8000,2500.0000,3219.5255,0.0480
TV,Tuvalu,1480.0000,1362.0000,2500.0000,1545.5645,0.0750
VU,Vanuatu,7434.6667,7462.6000,8376.0000,3043.0786,0.0230
WS,Samoa,2069.6667,2582.6000,4824.0000,636.9041,0.0350
