Cnt,Cntnm,Av3,Av5,TKAlm,Bio,Fshdep
AU,Australia,895,1613,2526,14362.2191,0
CK,Cooks,7390.3333,6476.8,9698,8070.9478,0.02
FJ,Fiji,5761.6667,5698.4,7294,6252.8125,0.016
KI,Kiribati,2873.3333,2219.2,2500,1949.3134,0.18
NU,Niue,370.6667,341.4,2500,1552.9168,0.0472
NZ,New Zealand,3112,3305.4,6700,12101.0055,0.0012
PG,PNG,1416.3333,1790.8,2500,4947.2551,0.02
SB,Solomon Is.,10119,9498.2,14500,5068.4504,0.08
TK,Tokelau,2094.6667,1715.6,2500,589.5813,0.11
TO,Tonga,1263,1051.8,2500,3219.5255,0.05
TV,Tuvalu,1480,1362,2500,1545.5645,0.08
VU,Vanuatu,7434.6667,7462.6,8376,3043.0786,0.02
WS,Samoa,2069.6667,2582.6,4824,636.9041,0.04
