Cnt,Cntnm,Av3,Av5,TKAlm,Bio,Fshdep
AU,Australia,1954.6667,1613.0000,2526.0000,14362.2191,0.0010
CK,Cooks,7390.3333,6345.0000,9698.0000,8070.9478,0.0200
FJ,Fiji,5674.3333,6211.6000,7294.0000,6252.8125,0.0170
KI,Kiribati,1708.6667,1493.8000,2500.0000,1949.3134,0.1780
NU,Niue,319.0000,282.8000,2500.0000,1552.9168,0.0460
NZ,New Zealand,459.3333,1979.8000,6700.0000,12101.0055,0.0012
PG,PNG,1524.3333,1656.6000,2500.0000,4947.2551,0.0200
SB,Solomon Is.,10765.6667,9471.2000,14500.0000,5068.4504,0.0800
TK,Tokelau,753.6667,475.2000,2500.0000,589.5813,0.1124
TO,Tonga,980.3333,972.0000,2500.0000,3219.5255,0.0480
TV,Tuvalu,1032.0000,807.6000,2500.0000,1545.5645,0.0750
VU,Vanuatu,7252.6667,6901.8000,8376.0000,3043.0786,0.0230
WS,Samoa,2819.3333,3496.6000,4824.0000,636.9041,0.0350
